property_type,state,lat,lon,area_m2,price_usd
villa,Oaxaca,16.429561076931076,-96.74522621188096,241.1,313691.0
Land,Chihuahua ,28.22213721024362,-106.32564277847722,407.1,416445.08
townhouse,guanajuato,21.086574001929428,-101.7265883605424,367.0,280203.62
Condo,Baja California,31.283969520454256,-115.4713215960909,431.6,414708.15
townhouse,BAJA CALIFORNIA,30.79390695074255,-115.88856283199048,206.7,13570506.13
land,CDMX,19.861816518055026,-98.4735955538846,97.3,55295.6
Departamento,PUEBLA,19.714061114654964,-98.61244810266192,171.4,303721.09
Apartamento,Puebla,999.99,-98.99201223057705,232.2,199018.15
condo,CHIAPAS,16.83636337548667,-93.46415573196786,336.1,267628.5
apartment,MICHOACAN,20.00846516691894,-101.94504042406822,96.3,65865.0
House,OAXACA,17.17341494026657,-96.69507071970482,109.7,149508.0
House,Veracruz,19.05185010646408,-95.84181848394458,423.8,582092.2
Villa,yucatan,20.598892740082377,-88.90619932552946,142.0,18165704.71
Casa,Guanajuato ,21.07284020386602,-101.48258471111748,241.4,427755.41
Condo,Veracruz ,19.508739417524044,-96.60665985104556,82.1,140286.07
townhouse,Chiapas,17.008788965198033,-93.7847099320782,93.3,130780.53
House,Yucatan,20.87497499939296,-89.07581065178631,200.0,188292.14
villa,Ciudad de Mexico,19.13017010856077,-99.86275205813584,173.3,78791.58
Terreno,Veracruz,18.89848265398428,-96.29286680539542,233.1,72318.15
house,Nuevo Leon,25.49582050614698,-100.0459262663578,280.4,115324.59
villa,Coahuila,27.226197254966586,-101.90526649579532,368.3,171726.37
apartment,chihuahua,28.463815846204906,-106.6575975274066,55.5,23732.83
Land,Oaxaca,17.776115104279416,-95.97906424910728,53.9,66269.34
Apartamento,Michoacan ,20.102681428361134,-101.91825446683995,226.6,197778.44
Casa,Chiapas,17.249247430331312,-93.3893787040017,-387.3,97759.75
Casa,Quintana Roo,19.93070572812132,-87.95934376378237,152.7,75722.61
HOUSE,Chihuahua ,28.765133820205367,-105.64111581976552,104.6,176097.02
Casa,OAXACA,17.210990003524074,-96.05871426958149,117.1,177283.31
apartment,Veracruz,19.39745841435824,-96.08014539034772,129.3,98501.03
Apartment,Baja California,30.78344377157784,-999.99,155.6,119665.84
condo,Oaxaca,17.338568553362652,-96.67833403213136,270.4,205434.37
Apartamento,Michoacan ,19.235930467164454,-101.3685837024883,314.3,469551.31
Apartamento,baja california,30.894503303340496,-114.81782046063827,428.3,759802.9
HOUSE,Nuevo Leon,26.20412916946975,-99.63218709862495,201.2,119106.97
Casa,Jalisco,20.701221738892094,-103.4185150808412,306.7,307999.15
House,Coahuila ,27.61341581309236,-100.99449902207856,206.1,133377.63
condo,SONORA,29.580164073400173,-110.60980406572745,75.7,121485.59
Casa,Quintana Roo,19.897617232320243,-89.04914530595427,185.8,311381.59
land,Michoacán,20.25046749009814,-100.99279623264113,7956.4,11140666.27
apartment,oaxaca,16.483022666397957,-96.60517163326726,147.0,139404.23
House,PUEBLA,18.45561296899936,-98.24287402079274,152.6,139319.23
Land,VERACRUZ,19.461772360194526,-96.91934088382646,445.1,221776.74
Townhouse,yucatan,20.03706068849732,-88.64657800039528,229.5,132183.9
Departamento,Sonora,28.685065193351644,-109.66509138263898,125.9,66699.09
house,sonora,29.34597230185429,-110.52898895087442,164.3,281299.86
Apartamento,BAJA CALIFORNIA,31.62221322243992,-115.15955815505556,92.3,44177.42
House,Nuevo Leon,24.853485105787268,-99.3283661254196,349.9,427935.53
Apartamento,Baja California,31.185757103408346,-115.30387211728085,308.9,357803.61
Casa,puebla,18.32789915302812,-97.63951636735464,204.8,339953.95
condo,PUEBLA,19.17969946081989,-97.78514139019816,163.7,283224.24
Casa,Coahuila,26.26280441497373,-101.34511842781836,308.9,299577.73
Apartment,Nuevo Leon,25.80445832760284,-99.34874023900822,288.7,114306.85
apartment,Coahuila,27.31585706385159,-101.74841971621127,197.3,220697.16
Townhouse,Quintana Roo,18.909484457564574,-88.67135636041415,306.7,210393.17
Land,baja california,31.58791311387528,-114.83115361370972,334.4,185848.85
Villa,Guanajuato ,20.93051337564653,-101.6796197788304,187.4,237480.82
Apartamento,Coahuila,27.100771805723543,-101.92297623614598,309.8,249339.93
Terreno,Guanajuato,21.53828662993217,-101.7524739775087,54.3,71035.95
Villa,Ciudad de Mexico,18.78889725977288,-99.56176959296852,289.8,508129.75
Townhouse,Chiapas,16.755785144462337,-92.91586233655414,331.8,136352.45
townhouse,Michoacan,19.324914135943224,-102.39673389750396,216.8,163418.57
Departamento,Guanajuato,20.40132795312826,-100.98427771484091,165.1,146743.52
townhouse,Nuevo León,24.956533157343276,-99.9908616341034,54.0,53130.03
Land,Sonora,28.66602269103865,-110.10910112017912,311.1,171171.57
land,Sonora,29.53259111091221,-110.50868134062772,323.9,119995.18
House,Sonora,28.83952460336958,-110.46711136656285,60.8,53760.29
Departamento,Guanajuato,20.375780530769266,-100.91877532680402,60.8,61674.28
land,Baja California,30.09919323445905,-115.0487592019188,54.8,38898.41
villa,Michoacan,18.91466659025877,-101.69720849179107,98.9,101393.06
land,Chiapas,17.22355913258167,-92.62810434589632,341.6,372203.95
Land,Guanajuato,20.681135638478956,-101.75804227206017,394.2,404809.25
Condo,Baja California,31.107675798330177,-114.77967322813446,191.7,87768.0
HOUSE,Quintana Roo,19.75676677973565,-89.0227364303125,372.1,552187.51
villa,Quintana Roo,19.204501604599407,-88.62697524804061,228.3,238282.2
apartment,yucatan,21.20244510611772,-89.47629585935441,366.7,298593.54
Land,chiapas,16.339693382103412,-93.22540385077616,174.4,73399.0
Apartment,Sonora ,29.79054587545733,-110.52042622320084,173.8,165363.16
apartment,Quintana Roo,19.4219305491998,-88.02912712062258,429.1,141848.0
Apartment,Yucatán,20.47423867094437,-89.46652743626159,61.3,63098.56
Apartment,Jalisco,21.32803942569844,-103.12972135799136,416.0,333819.66
land,QUINTANA ROO,19.45423620182889,-88.04136837380916,78.1,105756.33
Apartamento,yucatan,21.019398466746317,-89.07698020882054,194.2,243381.63
Villa,Quintana Roo,18.937406379361768,-89.15644145341471,159.5,122819.7
Departamento,guanajuato,20.5912794093697,-100.48671886245788,369.3,217683.13
Departamento,Ciudad de Mexico,19.72468217722965,-99.41970078318867,195.1,141299.91
Villa,Chiapas ,17.49964923957239,-93.55036522441296,367.3,515332.66
Land,Guanajuato,21.569030518955092,-101.56403455981165,309.3,345237.27
land,Puebla,18.353358097802097,-97.94351970414196,386.9,290362.03
villa,CIUDAD DE MEXICO,19.20992627396364,-99.24903046808686,284.1,96197.0
house,veracruz,19.46695869209229,-95.70902544718425,205.1,91143.25
HOUSE,puebla,999.99,-999.99,235.6,275746.99
villa,yucatan,20.472068053484985,-88.33026219485312,337.1,603036.76
Apartment,jalisco,20.957211430008947,-103.60812464519918,59.9,31799.57
Condo,SONORA,29.23227980747495,-110.93117813943486,156.7,255135.43
land,CIUDAD DE MEXICO,19.623874987271247,-98.42412938230744,303.8,302706.72
land,Veracruz,19.10341545435429,-96.83747980973918,413.8,133904.71
Departamento,puebla,18.96388786554445,-98.64071028101668,207.6,195174.31
villa,nuevo leon,25.59843335830549,-100.33337847783372,167.3,218961.88
HOUSE,Sonora ,29.348247166327337,-109.81029357122355,187.8,251620.94
Departamento,Sonora,29.094162248683794,-111.1083766100406,114.1,141487.47
Land,Veracruz,18.844602919148997,-95.41897525571576,398.6,463309.05
House,coahuila,27.156245122796854,-101.27890794903723,266.0,342274.66
Land,Jalisco ,19.920078080134036,-103.5805507947432,276.6,419494.7
Land,chiapas,16.369186983474222,-93.30972705657004,426.8,272458.04
townhouse,NUEVO LEON,25.999297406599972,-100.71658001210729,211.0,194389.15
townhouse,nuevo leon,25.096036587628216,-100.44787856253733,60.3,22625.37
Townhouse,Chiapas,17.031258993246652,-92.4086317920106,127.5,145378.85
townhouse,Yucatan ,20.57995739217484,-89.0019633544488,440.4,702040.14
Terreno,Veracruz,18.73013043707008,-95.9048922962828,225.5,219219.35
house,Quintana Roo,18.75709534149269,-88.77974075478873,395.6,219427.0
condo,Chihuahua,29.37892338229457,-106.17691074162884,86.5,47314.26
apartment,Veracruz,19.40986920649089,-96.91395655973464,214.9,351869.21
Apartamento,Coahuila,27.616103191755265,-101.34295664169451,267.8,272501.62
Departamento,Coahuila,27.05221724091484,-100.91706308044256,217.7,134165.27
Condo,Puebla,999.99,-98.70217396079632,250.8,333635.66
villa,Coahuila,26.717971355224165,-102.24986510381166,134.0,45768.54
Land,Oaxaca,16.342584059038675,-96.2734368064314,225.1,88067.7
villa,Baja California,31.288076606362267,-115.51879573862956,249.9,100691.15
Land,Sonora,29.85440198240983,-110.55857977800312,319.6,230839.46
Apartment,Guanajuato,21.743825922807517,-101.22059141963454,104.3,153496.85
townhouse,Michoacan,19.726892706815928,-102.36577489709758,287.7,487947.11
Departamento,COAHUILA,27.44181954334049,-101.22849388603152,313.7,275125.98
house,NUEVO LEON,25.82497308335373,-100.62271125021132,289.8,278895.57
Townhouse,Chiapas,16.970800262584653,-92.65224281497444,177.6,178186.65
Casa,Baja California ,30.36413742523064,-115.88026117648964,91.6,90489.0
Departamento,MICHOACAN,19.3784673901622,-101.11540754350288,318.3,352978.91
villa,Veracruz,19.93845713893294,-96.6814942780625,232.4,333230.6
townhouse,QUINTANA ROO,18.926008109362844,-89.04923009413979,445.0,399643.34
Villa,oaxaca,16.70094890604493,-96.153773048086,74.5,110150.97
Terreno,Ciudad de Mexico,18.93273206623125,-99.35435302535733,350.4,393789.84
House,Ciudad de Mexico,18.772954481694413,-99.32037555836158,365.8,655195.69
apartment,GUANAJUATO,20.697163374411524,-999.99,272.1,314881.77
Casa,Puebla,18.51122321744957,-98.50515635082512,300.9,252524.01
HOUSE,Sonora,29.375975214109385,-110.3775750769931,125.6,179872.93
land,Ciudad de Mexico ,19.387423343324382,-99.32043284101216,390.9,653163.22
HOUSE,VERACRUZ,19.18438022884721,-95.46157250483472,363.1,596664.9
apartment,Chihuahua,28.551363577900872,-105.35060162715472,3391.8,4493077.45
Departamento,Yucatan,21.482620900012225,-88.60567990062526,406.2,446792.78
condo,GUANAJUATO,20.473755868663133,-101.15122839264022,95.7,16422085.67
Apartamento,chiapas,16.35614758275668,-93.76473020532514,203.6,108280.59
Apartamento,Quintana Roo,19.9186387926994,-89.12370919974774,113.6,76469.22
Villa,Oaxaca,16.673788643859208,-97.38047698139044,273.7,492484.46
apartment,Chihuahua,28.37428743494627,-105.91248262018722,62.4,82216.31
Apartment,Chihuahua,28.163887721933303,-106.096418401953,324.2,243278.42
condo,Sonora,29.422887017126683,-109.96210854121156,284.2,300162.14
Apartamento,Michoacan,19.806495518945045,-102.25243605935069,306.7,263076.73
Casa,Coahuila,27.29246241268752,-102.36209470774357,278.0,311251.76
House,Sonora,30.091413695442025,-110.74932378986796,302.0,527724.09
Apartment,Chihuahua,28.8003615161228,-105.47229692790503,189.1,258518.89
Townhouse,yucatan,21.201272554651798,-89.45913104796584,-274.3,238494.93
Condo,coahuila,26.710234794159888,-102.45690441261245,294.5,267714.93
townhouse,Nuevo Leon,26.09002732204008,-99.27759897222715,266.6,318371.13
Townhouse,sonora,29.383779891705966,-109.64998223950894,158.4,140873.57
House,Yucatan,20.87497499939296,-89.07581065178631,200.0,188292.14
townhouse,MICHOACAN,20.319140977635566,-102.22109149412404,80.0,111425.41
Casa,Baja California,31.38915450977825,-114.71062434682628,129.6,183459.88
Villa,MICHOACAN,19.79049961576655,-101.61568040996056,357.0,124289.68
Villa,Veracruz ,18.39072478266718,-96.92063813333884,253.0,209300.48
Villa,Oaxaca,999.99,-97.40414796841978,211.3,272848.07
Apartamento,CIUDAD DE MEXICO,18.918805726309785,-98.98869523953655,223.7,299215.78
House,Yucatan,21.367187177170557,-88.43162170096227,199.9,142788.82
Apartment,NUEVO LEON,26.15893895148159,-100.5961361428288,343.7,211670.13
land,Chiapas,16.209982329438933,-92.33170628471474,165.8,130481.48
Casa,Baja California,30.343097053896777,-116.04854141035324,250.6,292715.06
land,Sonora ,29.274784741306583,-111.0201599704506,88.3,99311.49
Townhouse,Coahuila ,27.05182513753269,-101.58094197211456,50.4,53929.69
Apartamento,Chiapas,16.13992311377489,-92.41278876445335,188.1,328347.76
townhouse,YUCATAN,21.38335180405126,-89.63345337202051,380.1,432547.27
Apartamento,Yucatan,20.59888595351548,-88.5766436157762,159.7,214467.27
villa,Veracruz,19.689977484474017,-96.86762316436764,445.8,688808.29
villa,Nuevo Leon,25.3036897782927,-99.39089237693211,148.2,247220.86
villa,Jalisco,21.02752346227416,-103.31645144948236,319.9,370875.37
Land,Yucatan,20.24511124923438,-89.46713548472142,287.8,401104.0
Condo,PUEBLA,18.868466817033088,-97.87881585011336,321.4,267866.48
Casa,Nuevo León,26.31426742492733,-99.7914819646106,275.5,447156.4
Condo,Quintana Roo ,19.669140988560876,-88.33896609787577,121.7,91856.97
Casa,Veracruz,19.747403171918805,-96.85786511346816,124.4,193872.12
apartment,Quintana Roo,19.740645491616064,-88.79792172992776,414.6,726246.23
apartment,Michoacan ,19.246430685178783,-102.25479160108794,107.2,68218.05
Apartamento,Michoacan ,19.235930467164454,-101.3685837024883,314.3,469551.31
HOUSE,Veracruz,19.42747722125672,-96.79819054385165,280.1,472790.73
condo,JALISCO,20.785595572014792,-102.6633805305486,190.8,114001.98
Casa,BAJA CALIFORNIA,30.63169629671596,-116.01530649465816,184.9,19708846.73
Terreno,guanajuato,21.75264290729861,-101.508445663763,208.9,177067.19
Villa,Veracruz,19.409547392103345,-95.95971983257918,61.5,77544.87
townhouse,veracruz,19.8056814669138,-95.58070607015064,263.6,198816.85
apartment,Ciudad de Mexico,19.166290461768146,-99.72388854287728,218.4,249273.09
condo,Chiapas,16.379932793468047,-92.61795038485532,232.6,400625.04
house,sonora,29.40747446527473,-109.5947194795952,381.0,388110.38
Condo,Ciudad de Mexico,19.37641701499773,-98.65842791483492,290.4,106936.4
Casa,Chiapas,16.278799422288145,-93.47859727479914,245.3,75846.0
condo,chihuahua,29.324710984913903,-105.88412611824108,272.7,402518.06
Casa,QUINTANA ROO,18.53262127438701,-88.22472760077655,6267.3,7954893.53
Condo,ciudad de mexico,18.919660569836346,-99.79057401596616,207.7,303001.91
townhouse,Coahuila,27.709667568729785,-101.79333822067728,221.8,345962.38
house,guanajuato,20.923750077017612,-101.76241812737588,233.3,210217.57
Land,Michoacán,19.573212434903347,-101.37439025484665,217.5,124251.84
land,Coahuila,26.8076247160908,-102.33181970914436,342.3,386068.34
Casa,Chihuahua,28.230069550151843,-105.80558978048552,268.7,341280.01
Land,Guanajuato,21.58094222113825,-101.30454149172692,-426.9,446924.51
townhouse,Chihuahua,28.99770107272101,-105.43274222259724,381.7,196750.67
townhouse,CHIAPAS,16.713956851126447,-93.658673214473,370.7,270693.84
house,Yucatán,21.240614610660995,-89.77153039812248,290.2,288478.39
condo,Michoacan,19.61950330331716,-101.63276284920828,317.5,221152.49
apartment,Quintana Roo,18.46292468793194,-87.83080529447744,76.6,77259.21
Casa,MICHOACAN,20.062205468316755,-101.46386007256224,-97.6,69680.9
Casa,Nuevo Leon,26.341092496731587,-99.90090337818712,244.1,394671.9
Villa,Nuevo León,25.966272486421424,-99.25144203001908,258.3,246253.34
Departamento,yucatan,21.2481833476626,-88.62533732808552,174.2,89165.18
Townhouse,Guanajuato,20.84159673692515,-100.51945776557793,337.2,379137.54
villa,Puebla,19.66471874226281,-98.47590947882516,417.1,137788.71
Terreno,Quintana Roo ,18.679310268977687,-999.99,377.9,285643.87
Departamento,guanajuato,21.377518620594195,-101.08975516626964,212.2,146309.79
house,Quintana Roo,999.99,-88.91132312708925,328.0,588039.26
Apartment,Michoacan ,19.629373742047136,-101.33891028945604,448.0,428803.26
house,Yucatan,20.449900876918196,-88.48687602239697,209.9,211046.11
Land,Veracruz ,19.39213642078562,-95.71551395042027,337.1,417045.17
House,Puebla ,19.636866852649742,-97.63255079785957,226.0,337422.12
Apartamento,Yucatan,20.29668057749835,-89.69826494546567,56.0,89389.76
land,Coahuila,27.347863032081086,-102.45628717865264,42.9,22614.6
condo,Oaxaca,16.560875803356105,-96.71153613691182,182.5,220251.93
Apartamento,BAJA CALIFORNIA,30.499661946990283,-115.39597896001628,228.0,141485.88
Apartamento,Coahuila,26.875080667833576,-102.03984423792588,409.0,722809.17
house,Chihuahua,28.992763233140582,-106.55950366060524,65.9,92432.61
land,Jalisco,20.49501387879568,-102.96233387620089,67.3,63526.25
HOUSE,OAXACA,16.791849691207478,-97.49543721218268,380.1,147056.03
land,sonora,28.92515582539302,-110.0994691309517,393.1,464007.24
Departamento,chihuahua,28.809816070099544,-105.61764998757378,52.4,65232.19
townhouse,Nuevo Leon,25.84189281777885,-100.78732829097916,79.2,44655.34
Terreno,Michoacan,19.97568869691406,-101.76168741913094,416.7,409772.89
villa,yucatan,20.410575230192308,-89.82115528323025,41.7,49041.2
Apartment,Quintana Roo,18.725931076041984,-88.71446785782983,401.2,403559.17
land,Quintana Roo,19.658109261286825,-88.27148348979412,199.2,323629.5
HOUSE,Michoacan,19.87170102182515,-101.65732747687444,324.7,377575.46
Terreno,Chiapas,15.982032479000043,-92.77505722822085,445.9,563334.16
townhouse,YUCATAN,21.38335180405126,-89.63345337202051,380.1,432547.27
Departamento,Baja California,31.03182524344693,-114.64361025465132,290.8,342054.92
condo,Ciudad de Mexico,20.16984624523912,-99.80502165561506,315.2,151242.39
villa,Chiapas,16.952683769499018,-93.20423680795533,411.4,203223.49
Condo,OAXACA,17.57421196734812,-96.53980827769364,315.2,135993.89
HOUSE,Sonora,29.12400162543705,-110.0970283605746,134.3,88855.92
Departamento,Guanajuato,20.639504359585963,-100.67788059920396,83.7,51460.2
condo,sonora,29.493548038227367,-110.3886172950712,355.6,586976.45
apartment,Michoacan,20.180866369937352,-102.36710599975385,-432.7,99087.78
condo,YUCATAN,20.20092280609005,-88.49207597931242,128.2,215974.51
house,CIUDAD DE MEXICO,19.24767819836325,-98.83038190648584,257.2,205801.04
apartment,jalisco,999.99,-104.04149673816649,163.5,131901.15
Terreno,Baja California,31.478460870832063,-115.30731658693998,324.3,188074.57
Apartamento,Ciudad de Mexico,19.89855127585467,-99.68676164857534,299.2,388621.96
house,Ciudad de Mexico,19.21876643215088,-98.96367420122807,121.6,198773.56
Villa,Chiapas,17.26426661618474,-93.45019399648004,90.7,41772.24
Apartment,jalisco,20.500944022849204,-102.6099041117604,388.0,494028.65
house,Puebla,19.346709018647957,-97.75185244312615,3539.1,5271782.39
Casa,Sonora,29.49725390043023,-110.18080976313747,161.4,128849.79
villa,Jalisco,20.38468465172902,-103.96444382885954,164.5,158896.11
Apartment,oaxaca,16.549244020816545,-96.44885782029642,279.9,215461.03
HOUSE,YUCATAN,20.895853591127207,-88.31004530836587,53.6,32134.69
land,oaxaca,17.167549521624387,-96.28048044840357,299.1,398857.86
villa,Ciudad de Mexico,19.28997377839445,-98.85101932449837,153.2,149123.65
Terreno,sonora,29.195168006382072,-110.87276650171268,216.8,256146.61
Terreno,Jalisco ,20.99755183725618,-999.99,159.0,89167.45
HOUSE,Guanajuato,21.45393601249008,-100.65868153916438,188.7,235894.52
Casa,Baja California,30.931157792952533,-115.8756935518154,172.2,91646.0
townhouse,Veracruz,19.834004542951718,-95.54137028826118,287.7,415371.54
Apartamento,Sonora,29.67610983743086,-110.24516949939031,331.5,557512.6
Land,Sonora ,28.79405486415544,-111.1009482294591,134.1,172644.92
apartment,Jalisco ,21.378117261219423,-102.83089426890947,300.4,112910.68
Condo,Jalisco,20.746982406465964,-103.86402280439668,273.1,387592.91
Terreno,Nuevo Leon,26.192189023259356,-99.9630997770297,437.4,217843.16
Apartment,Jalisco ,20.507751691303927,-102.603680494347,225.9,190383.78
villa,VERACRUZ,19.56336390545659,-95.50951102399884,59.2,64737.05
Terreno,chiapas,17.02826831376427,-92.74621272808476,82.4,64936.73
apartment,Quintana Roo,19.793168583909768,-88.83411929974835,121.2,46370.62
