property_type,place_with_parent_names,lat-lon,area_m2,price_usd
HOUSE,Mexico|Distrito Federal|Iztapalapa,"19.941857964747363,-98.68640819169683",3898.5,2315365.75
,,"24.973431913114563,-99.3241029514491",135.0,161342.7
apartment,Mexico|Michoacan|Morelia,"20.156941469363172,-102.19081237501076",94.7,142444.39
condo,Mexico|Yucatan|Progreso,"21.21180178598138,-89.03931137622996",50.6,80237.04
Departamento,Mexico|Guanajuato|Celaya,"20.940225900267116,-101.4165492655635",291.1,106150.9
Land,Mexico|Coahuila|Monclova,"26.281639159411807,-101.53709160452144",129.9,141359.24
apartment,Mexico|Michoacan|Morelia,"19.267960666578144,-102.12777107656473",310.6,527976.45
,Mexico|Veracruz,"19.891888694731886,-96.45768019775475",83.8,138084.51
Terreno,Mexico|Quintana Roo|Cancun,"19.016630704397816,-87.96509656252815",369.5,580407.92
Terreno,Mexico|Distrito Federal|Miguel Hidalgo,"19.932378495317327,-99.23181732708241",392.5,510057.28
apartment,Mexico|Quintana Roo|Playa del Carmen,"19.324631619999334,-89.01610082517504",441.6,381447.04
villa,Mexico|Michoacan|Uruapan,"18.93326601569083,-101.3584607486833",153.1,"$129,210.41"
Apartment,Mexico|Oaxaca|Puerto Escondido,"16.470979991777,-97.32018287168025",52.0,23437.53
Departamento,Mexico|Guanajuato|Irapuato,"21.34297608452332,-101.55963082608676",184.5,109023.37
condo,Mexico|Puebla|Atlixco,"18.289157231634164,-97.77282324842758",244.7,301786.51
Land,Mexico|Coahuila|Torreon,"27.574457541199955,-102.20927689869016",154.4,57362.14
,Mexico|Nuevo Leon|Guadalupe,"25.464599558933326,-100.7947836083624",203.7,7743314.76
condo,Mexico|DISTRITO FEDERAL|cuauhtemoc,"18.821929023011894,-98.54171686535685",,291173.98
Apartamento,Mexico|Oaxaca|Puerto Escondido,"17.33791155814797,-96.94255346397115",89.0,113095.0
,,"17.643718210400394,-97.0583238244034",37.1,62166.4
Land,Mexico|Veracruz|Veracruz,"18.82805794536892,-96.65262011607516",138.1,93406.4
condo,Mexico|Coahuila|Torreon,"26.571996952346254,-100.92540817488769",428.0,"$507,510.63"
Apartamento,Mexico|Quintana Roo|Tulum,"19.859675131094228,-88.35486150276321",270.4,232516.0
House,Mexico|Michoacan|Patzcuaro,"19.69549228314274,-101.77798233428265",162.1,"$76,845.47"
villa,Mexico|Michoacan|Patzcuaro,"19.11827833947921,-102.03393415972963",260.0,188645.92
Land,Mexico|Coahuila|Monclova,"26.92776086876253,-100.9798695877666",138.8,160868.57
land,Mexico|Veracruz|Coatzacoalcos,"19.956490543603167,-96.29592857866541",54.2,53136.59
Villa,Mexico|Veracruz|Xalapa,"18.605879535851525,-95.6133917471764",313.1,111791.54
condo,Mexico|Sonora,"29.582675809644208,-111.05395612662916",200.3,"$229,828.21"
condo,Mexico|Jalisco|Guadalajara,"20.33325810611409,-102.56380547750419",418.5,325869.08
Casa,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.19961511427065,-99.39540134943745",314.6,446803.63
,Mexico|Oaxaca|Huatulco,"17.39026746094921,-96.9645295648522",212.2,190813.18
Apartamento,Mexico|JALISCO|zapopan,"20.36869938354318,-103.64232543301992",120.6,14732580.9
apartment,Mexico|Chihuahua|Chihuahua,"28.739160882136694,-105.5008351781068",242.3,10549956.29
Apartamento,Mexico|VERACRUZ|coatzacoalcos,,136.3,198710.08
apartment,Mexico|Yucatan,"20.958191799232097,-89.88799512117365",,173161.0
condo,Mexico|Yucatan|Merida,"999.99,-999.99",124.8,133890.32
condo,Mexico|Quintana Roo|Playa del Carmen,"19.137179682184488,-87.99709313407938",445.4,505749.27
villa,Mexico|Guanajuato|Irapuato,"20.412485415556485,-101.27614629613065",328.3,
condo,Mexico|Coahuila|Monclova,"27.509065635203154,-101.96869598958419",139.3,222890.04
condo,Mexico|Michoacan|Morelia,"19.996171903479205,-102.39361519820403",194.8,104724.24
condo,Mexico|Jalisco|Zapopan,"20.703576235634202,-103.32083154911808",136.1,42022.59
townhouse,Mexico|Jalisco|Guadalajara,"21.459140048222697,-103.4815625605029",314.3,
House,Mexico|Yucatan|Progreso,"21.400382582821564,-88.85830385098927",55.3,29020.03
HOUSE,Mexico|Baja California|Mexicali,"31.355355225408196,-114.61077241508711",172.2,280547.0
Departamento,Mexico|Sonora|Hermosillo,"29.49228729355698,-110.11360849469675",419.6,315867.0
condo,Mexico|Baja California|Rosarito,"30.60302890481173,-115.73849791774956",141.3,120627.19
,Mexico|Guanajuato|Leon,"21.011427698777766,-100.6278008953247",246.0,186158.5
,Mexico|Chiapas|Tuxtla Gutierrez,"17.217523082259945,-92.51340861563378",415.7,
condo,Mexico|Chiapas|San Cristobal de las Casas,"17.36057695712672,-92.7421085125167",289.1,460097.59
townhouse,Mexico|Nuevo Leon|Apodaca,"25.913057307065312,-99.1979775737846",56.4,66417.93
Terreno,Mexico|Guanajuato|Irapuato,"21.361389139512845,-101.19939980715914",419.0,255123.77
house,Mexico|Oaxaca|Huatulco,"17.03994749760971,-96.7143920638756",42.9,63875.37
,Mexico|Chiapas|San Cristobal de las Casas,"16.3156061232054,-93.24011438924073",262.2,333015.38
Townhouse,Mexico|Jalisco|Guadalajara,"21.45648223128794,-103.2093434013533",42.8,57661.75
House,Mexico|Quintana Roo|Cozumel,"18.661029621653707,-88.06396884963631",266.0,
Departamento,Mexico|Guanajuato|Celaya,"999.99,-999.99",62.7,30967.63
Condo,Mexico|JALISCO|tlaquepaque,"21.080041963459735,-104.13044864863596",343.0,384182.65
house,Mexico|Quintana Roo|Playa del Carmen,"19.32942194037506,-88.78341726487069",153.4,128739.29
HOUSE,Mexico|Oaxaca|Oaxaca de Juarez,,231.6,97675.04
townhouse,Mexico|Quintana Roo|Cozumel,"19.26358027309313,-88.68222586765629",418.9,542690.65
,Mexico|Nuevo Leon|Monterrey,"26.28973102956241,-99.90363362229455",58.9,76930.12
condo,Mexico|Nuevo Leon|Apodaca,"25.405000161224926,-100.01940587657947",427.1,530347.05
villa,Mexico|Coahuila|Torreon,"27.544742080598898,-102.2533841307858",124.6,107945.82
land,Mexico|Baja California|Ensenada,"999.99,-999.99",238.7,79299.09
Departamento,Mexico|Jalisco|Guadalajara,"21.4048377134027,-103.80077473247323",244.1,427051.21
,Mexico|Oaxaca|Huatulco,"16.767613962583983,-96.91413123499241",383.1,528908.0
Apartamento,Mexico|Sonora,"28.96318145021697,-110.67857834717573",399.8,662939.7
Condo,Mexico|Chiapas|Tuxtla Gutierrez,"16.57596586126021,-92.72781328931376",323.8,190878.07
Terreno,Mexico|Sonora|Nogales,"28.61821622070524,-110.60364804926887",448.1,412251.59
Villa,Mexico|Nuevo Leon|Apodaca,"999.99,-999.99",257.4,123595.23
Condo,Mexico|Michoacan|Patzcuaro,"19.23980153809412,-102.23116876555008",74.9,87176.36
HOUSE,Mexico|Puebla|Puebla de Zaragoza,"19.81780277689635,-98.20059051803429",298.1,309413.54
Condo,Mexico|Oaxaca|Puerto Escondido,"17.80253443263175,-96.02315432743818",390.9,356008.68
Apartamento,Mexico|Veracruz|Veracruz,"19.82513504561641,-96.4262620977769",227.2,319739.18
Departamento,Mexico|Chiapas|Tuxtla Gutierrez,"16.51626322105327,-93.6184826307663",,386667.08
Townhouse,Mexico|Coahuila|Monclova,"26.814351333188384,-102.26146958825747",157.7,89028.24
villa,Mexico|Veracruz|Veracruz,"18.510079027734346,-95.86000629636489",446.3,
House,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.9332897483716,-99.95617633206986",204.5,140456.92
Apartment,Mexico|Jalisco|Guadalajara,"20.713219035101886,-104.07990835732163",329.2,13617759.18
Land,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.7354600950314,-100.09584805548549",37.2,41158.2
house,Mexico|Yucatan|Progreso,"20.84608357117241,-89.45915847546459",57.5,34879.88
,Mexico|Distrito Federal|Miguel Hidalgo,"19.93593428607058,-98.73504573146162",436.2,709962.0
,Mexico|Quintana Roo|Cozumel,"18.972654776099212,-88.01844375773977",315.5,"$567,737.45"
Villa,Mexico|Coahuila|Saltillo,"26.781442343274858,-102.38900204248448",168.4,109986.33
townhouse,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.914652386158565,-99.54296447191564",46.2,32034.49
Terreno,Mexico|YUCATAN|valladolid,"999.99,-999.99",437.3,717164.07
Townhouse,Mexico|Chihuahua|Delicias,"29.406653207336973,-105.9060944593136",-251.3,394533.15
Townhouse,Mexico|Jalisco|Zapopan,"20.222540159977648,-103.02161493476632",268.0,210662.38
land,Mexico|Michoacan|Morelia,"20.099259520201713,-101.75557326284545",120.8,157139.06
land,Mexico|Chihuahua|Ciudad Juarez,"29.325168474621428,-106.81213935166625",446.6,244939.7
Land,Mexico|Chiapas|San Cristobal de las Casas,"16.144760827693215,-92.8085796656955",195.4,214027.49
Departamento,Mexico|Michoacan|Patzcuaro,"19.051539199152227,-101.74701701898083",3203.6,2391823.0
Villa,Mexico|Michoacan|Patzcuaro,"19.900922795844007,-101.2369039191372",169.4,100826.92
Apartment,Mexico|DISTRITO FEDERAL|coyoacan,"19.41982242739745,-99.56266346291157",319.6,254964.18
Departamento,,,251.4,411793.76
Apartment,Mexico|Sonora|Nogales,"30.07962222440571,-110.78960982241145",419.1,289542.66
condo,Mexico|Distrito Federal|Cuauhtemoc,"19.082072111290078,-98.82327885201586",42.3,44156.39
house,Mexico|Distrito Federal|Tlalpan,"18.946584021254672,-99.34993614842801",196.5,215419.86
HOUSE,Mexico|Jalisco|Tlaquepaque,"20.34592236550082,-102.79140214420923",347.5,122559.59
apartment,Mexico|Yucatan|Valladolid,"21.19254741299291,-88.50170152433313",419.4,546350.5
townhouse,Mexico|Distrito Federal|Iztapalapa,"19.095163632574614,-99.52096504816753",3485.6,1485750.32
Land,Mexico|Yucatan|Progreso,"20.40767576721351,-88.97521479050344",178.2,308921.63
Condo,Mexico|Veracruz|Xalapa,"19.872307181433534,-96.64147605191519",97.6,170161.02
condo,Mexico|Michoacan|Uruapan,"19.5997855673517,-102.17840261697485",41.8,30032.31
apartment,Mexico|Veracruz|Coatzacoalcos,"19.66140792173273,-96.20296887704853",208.0,225855.0
villa,Mexico|Coahuila|Torreon,"27.547481724322395,-100.95681189667503",147.3,77497.6
Villa,Mexico|Chiapas|San Cristobal de las Casas,"16.96216827571146,-93.15104698439987",-107.6,"$285,568.19"
Terreno,Mexico|Quintana Roo|Playa del Carmen,"19.4182688881291,-88.13691443193632",78.8,63600.11
Condo,Mexico|Jalisco|Zapopan,"20.724440330599627,-102.96362652357388",160.0,259616.65
townhouse,Mexico|Chihuahua|Chihuahua,"28.9630792806258,-105.85568725796482",49.5,65111.69
Departamento,Mexico|Nuevo Leon|Monterrey,"26.30374817466966,-100.10624343372118",399.0,621377.5
Townhouse,Mexico|Chihuahua|Ciudad Juarez,"28.22406192713059,-106.21698934040873",176.6,"$244,967.68"
,Mexico|Baja California|Rosarito,"31.382383558697324,-115.5505138410735",315.0,5784139.32
villa,Mexico|Jalisco|Tlaquepaque,"20.213086246792237,-103.44833250551584",94.2,150537.72
apartment,Mexico|Coahuila|Saltillo,"27.6463061825003,-101.9561127775309",360.1,632518.78
Departamento,Mexico|Sonora|Hermosillo,"29.801290169877973,-110.09922342968885",309.8,313881.89
Terreno,Mexico|Michoacan|Uruapan,"20.299444540300918,-102.17943409145612",335.2,478863.1
House,Mexico|Nuevo Leon|Guadalupe,"25.443478804534525,-100.38535862611216",336.0,281634.93
,,"24.973431913114563,-99.3241029514491",135.0,161342.7
Terreno,Mexico|Chihuahua|Ciudad Juarez,"28.073232801515,-106.70848619894981",411.6,635411.27
Apartment,Mexico|Distrito Federal|Tlalpan,"20.141142229611116,-99.21663798279975",159.7,170096.6
townhouse,Mexico|Sonora|Nogales,"28.94235400705368,-110.71948764816104",408.4,503827.08
Land,Mexico|Nuevo Leon|Apodaca,"25.97541792065174,-99.28044079220528",266.1,352950.79
Departamento,Mexico|Puebla|Cholula,"18.290323259987147,-98.02508382344755",5756.4,
,Mexico|Distrito Federal|Tlalpan,"19.89351119276775,-99.13756161435587",334.4,208378.91
land,Mexico|Puebla|Puebla de Zaragoza,"19.666620214341933,-98.86182573784167",,210019.67
Apartamento,Mexico|Jalisco|Zapopan,"20.310957989690046,-103.97777243010513",-327.4,205163.31
Apartment,Mexico|Guanajuato|Celaya,"21.765320768686625,-101.8643211892602",91.0,142768.8
Land,Mexico|Nuevo Leon|Apodaca,"25.97541792065174,-99.28044079220528",266.1,352950.79
HOUSE,Mexico|Oaxaca|Puerto Escondido,"17.749739448497138,-96.87905692662622",113.6,114799.05
Casa,Mexico|Michoacan|Morelia,"19.75331443910509,-101.9252758550973",,62014.49
condo,Mexico|Coahuila|Torreon,"26.789412588933818,-102.24996523516732",282.4,398870.91
villa,Mexico|Yucatan|Valladolid,"20.77892662992971,-89.02966524504109",230.8,319697.97
HOUSE,Mexico|Jalisco|Zapopan,"20.631771618566127,-103.80523787557",359.1,113112.01
,Mexico|Chihuahua|Ciudad Juarez,"28.28767541177131,-106.31131125009621",,178241.76
HOUSE,Mexico|Baja California|Rosarito,"31.533738779277538,-114.95470482153002",383.7,
apartment,Mexico|Nuevo Leon|Monterrey,"25.885681315383867,-99.71343655136558",356.2,"$530,207.68"
land,Mexico|Puebla|Puebla de Zaragoza,,110.7,138976.79
,Mexico|OAXACA|oaxaca de juarez,"16.301460614398007,-96.4004469623077",363.4,235518.36
Land,Mexico|Guanajuato|Celaya,"20.623033584579606,-100.66493698158233",418.9,653180.0
Land,Mexico|Yucatan|Progreso,"21.13428209361743,-88.55527350246585",393.6,545799.55
HOUSE,Mexico|Jalisco|Tlaquepaque,,288.4,"$255,422.69"
apartment,Mexico|Quintana Roo|Cozumel,"18.66273400912229,-89.0268318122858",277.8,346268.45
villa,Mexico|Jalisco|Tlaquepaque,"20.891131353813282,-102.64424650584965",196.3,339960.76
House,Mexico|Chihuahua|Delicias,"29.180923985598728,-106.02808048547602",-243.4,101038.14
Departamento,Mexico|Puebla|Atlixco,"999.99,-999.99",177.2,128070.81
Apartment,Mexico|Oaxaca|Puerto Escondido,"17.250939228738652,-96.98245297616512",177.1,103070.0
House,Mexico|Puebla|Atlixco,"18.351240309308164,-98.58681679248421",91.5,127706.65
Departamento,Mexico|Sonora|Nogales,"28.601046333415077,-110.55167002971619",447.2,297561.35
Terreno,Mexico|Coahuila|Torreon,"26.60020888796104,-101.35444991988366",93.3,56706.99
House,Mexico|Yucatan|Valladolid,"999.99,-999.99",126.2,76978.84
Terreno,Mexico|Nuevo Leon|Guadalupe,"26.068528496126696,-99.5056730187843",202.4,136338.75
Apartamento,Mexico|Distrito Federal|Tlalpan,"19.731829430682644,-99.48346394555132",73.7,56860.7
villa,Mexico|Sonora|Ciudad Obregon,"28.79404662612894,-109.91712421306441",187.3,74387.92
Villa,Mexico|Quintana Roo|Cozumel,"18.697951162831576,-89.27220188690352",157.6,257990.17
condo,Mexico|Chiapas|Tuxtla Gutierrez,"17.01891770884224,-93.56465378352992",67.8,103709.32
Land,Mexico|Oaxaca|Huatulco,"17.244726914115176,-96.76014108451714",,249885.34
House,Mexico|Nuevo Leon|Monterrey,"24.94909740944588,-99.46731955100901",268.8,223470.96
Apartment,Mexico|Distrito Federal|Cuauhtemoc,"19.278761018682374,-98.64154099199887",39.2,30637.22
villa,Mexico|Quintana Roo|Cancun,"19.762519829062207,-87.85289815812726",254.0,378769.46
condo,Mexico|Guanajuato|Leon,"20.658975820804013,-101.24956452495965",126.4,77316.61
apartment,Mexico|Veracruz|Xalapa,"19.238150562640268,-96.50607356364458",185.8,144682.97
Apartamento,Mexico|Chihuahua|Chihuahua,"29.318753052901272,-106.40062364059735",68.8,57387.57
Apartment,Mexico|Chiapas|San Cristobal de las Casas,"16.650357991918714,-93.24534304286225",119.0,180951.58
Casa,Mexico|Jalisco|Guadalajara,"20.897682497898,-104.11367320807368",374.9,520233.41
Terreno,Mexico|Yucatan|Progreso,"20.129666863150177,-88.32897758046703",407.1,717102.26
villa,Mexico|Distrito Federal|Tlalpan,"18.943869800918563,-98.62834290428893",312.6,126458.6
land,Mexico|Puebla|Puebla de Zaragoza,"19.281535709201705,-97.61493530946031",387.3,402614.77
Departamento,Mexico|Michoacan|Uruapan,"20.26708461012498,-100.91848894515914",206.0,330512.28
Casa,Mexico|Jalisco|Puerto Vallarta,"20.106300212386028,-103.19241256303417",420.2,450872.07
land,Mexico|Jalisco|Guadalajara,"20.738011391058507,-103.11118266285317",315.1,328361.59
Villa,Mexico|Quintana Roo|Cozumel,,311.9,204712.77
townhouse,Mexico|Nuevo Leon|Guadalupe,"26.30581818789667,-100.1541868580762",176.7,277640.3
Apartment,Mexico|Veracruz|Xalapa,"19.400247270306878,-95.45865567396487",416.2,"$344,451.78"
Terreno,Mexico|Yucatan|Valladolid,"20.73974796643546,-89.5773721663772",56.3,97322.33
Villa,Mexico|Chihuahua|Chihuahua,"29.042731577996424,-105.4310523660403",209.1,
Villa,Mexico|Quintana Roo|Cozumel,"19.84065927198562,-87.69160307262187",353.5,130066.55
apartment,Mexico|Guanajuato|Leon,"20.892774659202175,-100.60514826459632",156.6,122287.94
Villa,Mexico|Coahuila|Saltillo,"26.957285308426577,-100.92102259675109",98.2,129842.07
Land,Mexico|Coahuila|Saltillo,"26.366283801090557,-101.58244610587988",409.1,619472.61
house,Mexico|Quintana Roo|Cozumel,"19.794248918344266,-89.13982768416965",342.5,329333.96
villa,Mexico|Yucatan|Progreso,"19.967638127094368,-89.84058769254443",270.3,414340.36
Apartment,Mexico|Baja California|Rosarito,"30.761814997573836,-115.35865331729038",334.8,462187.7
Villa,Mexico|Michoacan|Morelia,"19.55933131513246,-101.06757434838615",293.7,445703.87
Condo,Mexico|Nuevo Leon|Guadalupe,"24.937790440864262,-99.99306027574684",272.7,431439.45
Casa,Mexico|Michoacan,"19.786978033205223,-101.89944577026286",40.7,18784.26
Apartment,Mexico|Distrito Federal|Iztapalapa,"19.203528009725904,-99.50084770096163",260.0,428030.28
townhouse,,"31.62098345486202,-115.00093606688448",153.0,
land,,"26.46086124617358,-102.13771431360739",318.2,216981.79
House,Mexico|Jalisco|Tlaquepaque,"20.373074185287066,-103.79620952260242",382.7,575772.66
Terreno,Mexico|Oaxaca|Oaxaca de Juarez,"16.518358931735445,-97.27933409539187",178.7,154207.41
Townhouse,Mexico|Puebla|Puebla de Zaragoza,"18.388093398044383,-97.89615222068416",275.8,365593.54
townhouse,Mexico|Quintana Roo|Tulum,"19.50660157276496,-88.1658843399922",314.4,192742.57
Condo,Mexico|Coahuila,"27.230571752537863,-101.90267042768191",328.3,239730.94
land,Mexico|Chiapas|Tuxtla Gutierrez,"16.893959327872807,-93.60176364092065",106.4,122940.62
condo,Mexico|Yucatan|Progreso,"20.47544117324007,-88.66780068022886",131.6,46701.41
HOUSE,Mexico|Quintana Roo|Cozumel,"19.28404994378502,-88.75271027087224",232.8,
Terreno,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.307187139623373,-100.2226432501662",145.0,44815.37
Terreno,Mexico|Michoacan|Patzcuaro,"18.805730736810105,-102.42085170915966",51.9,16135.0
Condo,Mexico|Puebla|Atlixco,"18.440979600179283,-98.88637380394704",-300.8,294041.55
land,Mexico|Oaxaca|Puerto Escondido,"17.761200829358298,-97.52122188231498",134.5,54691.05
Casa,,,327.4,300035.69
Casa,Mexico|Jalisco|Zapopan,"20.643716495597275,-103.82287291266802",240.0,84894.3
,Mexico|Sonora|Ciudad Obregon,"28.698396686419112,-111.07662745327306",220.3,239437.49
condo,Mexico|Michoacan|Uruapan,"19.357227089481814,-102.1191037529591",216.8,"$83,146.13"
Terreno,Mexico|Oaxaca|Puerto Escondido,"17.544645431777642,-97.02751853835812",424.7,415750.83
Terreno,Mexico|Guanajuato|San Miguel de Allende,"21.433970427938355,-101.66999188205922",436.6,235660.78
townhouse,Mexico|Coahuila|Monclova,"27.81844302497276,-101.18832914722937",293.3,124531.49
,Mexico|Guanajuato|San Miguel de Allende,"21.68129667539747,-100.65430530890539",-323.4,233446.71
Condo,Mexico|Chihuahua|Chihuahua,"28.578353230633642,-105.69148837736674",331.5,144383.84
,Mexico|Sonora|Ciudad Obregon,"29.773197301787263,-109.92544065386154",147.4,69395.77
House,Mexico|Puebla|Atlixco,"19.827027578109476,-99.00577185381675",344.1,217143.21
,Mexico|Chihuahua|Ciudad Juarez,"28.175895375619856,-105.56306991435929",192.8,251375.6
Townhouse,Mexico|Veracruz|Veracruz,"19.06854020889575,-96.31996487192548",178.4,114659.17
villa,Mexico|Puebla|Puebla de Zaragoza,"18.600449256900955,-98.23116800894202",215.2,162763.0
Townhouse,Mexico|Veracruz|Veracruz,"19.17794438951264,-95.8990251538852",440.6,791332.38
land,Mexico|Yucatan|Progreso,"21.093383517673296,-89.19766257009466",-65.5,403383.28
Condo,Mexico|Yucatan|Merida,"21.250917198303107,-88.49481247147749",420.8,412581.17
Casa,Mexico|Chihuahua|Chihuahua,"28.669520647832485,-106.34893265231298",247.5,243695.47
house,Mexico|Michoacan|Patzcuaro,"999.99,-999.99",377.7,154320.11
Condo,Mexico|Yucatan|Progreso,"999.99,-999.99",266.9,190803.62
condo,Mexico|Coahuila|Saltillo,"26.810965934415268,-101.60838375843132",411.3,"$647,281.49"
,Mexico|Baja California|Ensenada,,,138128.36
HOUSE,Mexico|Oaxaca|Huatulco,"17.79259941965081,-96.01591855189389",79.8,117243.65
Townhouse,Mexico|Sonora|Hermosillo,"29.130648024444465,-109.95479556679558",137.3,152440.58
house,Mexico|Sonora|Nogales,"29.526945867299965,-109.72842978783757",51.6,32777.8
Townhouse,Mexico|Quintana Roo|Cozumel,"18.53572462673816,-88.22848032069759",179.4,109874.58
townhouse,Mexico|Puebla|Puebla de Zaragoza,"19.161556652018305,-98.30374546285002",42.0,50431.53
,Mexico|Sonora|Nogales,"29.56592973332479,-110.58183880386787",100.4,44046.45
villa,Mexico|Puebla|Cholula,"18.390392652881733,-97.44542640775605",5737.5,6180672.63
townhouse,,"20.80229478519273,-100.82429701155843",87.9,"$100,403.28"
Casa,Mexico|Chiapas|San Cristobal de las Casas,"17.318172461368036,-93.33562132545006",173.7,65151.69
condo,Mexico|Puebla|Puebla de Zaragoza,"19.818841625428078,-97.80261260148757",289.8,217337.55
Townhouse,Mexico|Coahuila|Saltillo,,146.4,189435.0
,Mexico|Guanajuato|Irapuato,"21.429431318311178,-100.77137812162013",255.2,377407.0
Townhouse,Mexico|Guanajuato|San Miguel de Allende,"21.462614156171085,-100.80180195249757",294.1,323263.85
condo,Mexico|Baja California|Ensenada,"31.482667767726728,-115.15379841866981",365.5,426178.84
land,Mexico|Veracruz|Xalapa,"19.66838073337417,-96.41026007177977",414.7,631737.58
Departamento,Mexico|Baja California|Tijuana,"31.54076284182708,-115.21135946240297",285.4,407322.64
,Mexico|Puebla|Puebla de Zaragoza,"18.800759882473976,-98.48461901279504",138.1,16884547.47
condo,Mexico|Distrito Federal|Tlalpan,"19.32220097650476,-99.10264815137654",403.0,237557.14
townhouse,Mexico|Michoacan|Uruapan,"19.17648679001858,-102.33995568464823",335.6,115116.0
Terreno,Mexico|Baja California|Rosarito,"31.21102779483331,-115.80004996271448",4994.7,6503873.0
condo,Mexico|Yucatan|Valladolid,"20.460496411738294,-89.68337871228489",98.4,118114.61
Departamento,Mexico|Michoacan|Uruapan,"19.578449336395593,-102.4462489869253",363.7,"$415,448.10"
,Mexico|Chihuahua|Chihuahua,"28.463328358648152,-106.25112812940016",7552.3,6067983.08
townhouse,Mexico|Distrito Federal|Cuauhtemoc,"19.098026763622084,-99.40362209876315",393.2,195993.1
land,Mexico|Chihuahua|Chihuahua,"28.44320984302404,-106.34461347048632",228.4,322156.58
Apartment,Mexico|Distrito Federal|Cuauhtemoc,"18.657416439028413,-98.81895595852576",381.4,591466.13
townhouse,Mexico|Chihuahua|Chihuahua,"27.83628475527978,-105.58161564673485",345.8,362088.04
condo,Mexico|Yucatan|Progreso,"20.993784656724596,-88.86514449587287",101.9,74046.73
,Mexico|Nuevo Leon|Guadalupe,"25.35612067466577,-100.20940102993524",175.1,"$222,107.20"
land,Mexico|Oaxaca|Puerto Escondido,,304.1,214093.88
,Mexico|Michoacan|Patzcuaro,"19.003896634325464,-101.15475720221121",449.1,440786.47
Villa,Mexico|Coahuila|Saltillo,"27.231714979916415,-101.4632688327062",-71.3,306657.52
Land,Mexico|YUCATAN|progreso,"21.246686153580576,-88.8201637233021",3570.3,5337222.38
house,Mexico|Quintana Roo|Cancun,"19.514964439219654,-88.5464235390755",37.2,64299.16
,Mexico|Quintana Roo|Playa del Carmen,"19.524408764631104,-88.83627619408912",127.3,151094.97
Villa,Mexico|Coahuila|Torreon,"27.786317428630504,-101.76683902694002",135.6,158288.67
HOUSE,Mexico|Jalisco|Tlaquepaque,"20.34592236550082,-102.79140214420923",347.5,122559.59
,Mexico|Yucatan|Merida,"21.119692158457713,-88.57258458097296",93.1,40371.34
Apartamento,Mexico|Michoacan|Uruapan,"19.76467385434134,-101.99170445771672",213.9,361982.3
House,Mexico|Nuevo Leon|Apodaca,"25.459733346327475,-99.99270781549018",379.8,679832.49
Apartment,Mexico|Distrito Federal|Coyoacan,,81.3,82439.05
HOUSE,,"20.05703696411042,-89.64684108410569",6055.3,9316076.0
